 calculation mAP (mean average precision)...
17528
 detections_count = 232497, unique_truth_count = 20332
class_id = 0, name = 0,          ap = 0.00 %
class_id = 1, name = 1,          ap = 59.69 %
class_id = 2, name = 2,          ap = 13.03 %
class_id = 3, name = 3,          ap = 68.78 %
class_id = 4, name = 4,          ap = 0.00 %
class_id = 5, name = 5,          ap = 0.00 %
class_id = 6, name = 6,          ap = 31.76 %
class_id = 7, name = 7,          ap = 41.25 %
class_id = 8, name = 8,          ap = 33.19 %
class_id = 9, name = 9,          ap = 0.00 %
class_id = 10, name = 10,        ap = 62.35 %
class_id = 11, name = 11,        ap = 42.41 %
class_id = 12, name = 12,        ap = 0.00 %
class_id = 13, name = 13,        ap = 78.42 %
class_id = 14, name = 14,        ap = 9.09 %
class_id = 15, name = 15,        ap = 0.00 %
class_id = 16, name = 16,        ap = 77.50 %
class_id = 17, name = 17,        ap = 73.63 %
class_id = 18, name = 18,        ap = 0.00 %
class_id = 19, name = 19,        ap = 0.00 %
class_id = 20, name = 20,        ap = 0.00 %
class_id = 21, name = 21,        ap = 0.00 %
class_id = 22, name = 22,        ap = 0.00 %
class_id = 23, name = 23,        ap = 0.00 %
class_id = 24, name = 24,        ap = 0.00 %
class_id = 25, name = 25,        ap = 67.76 %
class_id = 26, name = 26,        ap = 0.00 %
class_id = 27, name = 27,        ap = 0.00 %
class_id = 28, name = 28,        ap = 63.64 %
class_id = 29, name = 29,        ap = 0.00 %
class_id = 30, name = 30,        ap = 68.33 %
class_id = 31, name = 31,        ap = 0.00 %
class_id = 32, name = 32,        ap = 0.00 %
class_id = 33, name = 33,        ap = 58.35 %
class_id = 34, name = 34,        ap = 7.44 %
class_id = 35, name = 35,        ap = 1.06 %
class_id = 36, name = 36,        ap = 0.18 %
class_id = 37, name = 37,        ap = 0.00 %
class_id = 38, name = 38,        ap = 63.10 %
class_id = 39, name = 39,        ap = 0.00 %
class_id = 40, name = 40,        ap = 64.66 %
class_id = 41, name = 41,        ap = 11.02 %
class_id = 42, name = 42,        ap = 0.00 %
class_id = 43, name = 43,        ap = 0.00 %
class_id = 44, name = 44,        ap = 0.00 %
class_id = 45, name = 45,        ap = 0.00 %
class_id = 46, name = 46,        ap = 0.00 %
class_id = 47, name = 47,        ap = 0.00 %
class_id = 48, name = 48,        ap = 0.00 %
class_id = 49, name = 49,        ap = 0.13 %
class_id = 50, name = 50,        ap = 0.00 %
class_id = 51, name = 51,        ap = 0.00 %
class_id = 52, name = 52,        ap = 0.00 %
class_id = 53, name = 53,        ap = 0.00 %
class_id = 54, name = 54,        ap = 0.00 %
class_id = 55, name = 55,        ap = 0.00 %
class_id = 56, name = 56,        ap = 42.46 %
class_id = 57, name = 57,        ap = 2.27 %
class_id = 58, name = 58,        ap = 0.00 %
class_id = 59, name = 59,        ap = 0.00 %
class_id = 60, name = 60,        ap = 65.20 %
class_id = 61, name = 61,        ap = 50.63 %
class_id = 62, name = 62,        ap = 83.68 %
class_id = 63, name = 63,        ap = 56.99 %
class_id = 64, name = 64,        ap = 44.68 %
class_id = 65, name = 65,        ap = 0.00 %
class_id = 66, name = 66,        ap = 0.00 %
class_id = 67, name = 67,        ap = 0.00 %
class_id = 68, name = 68,        ap = 0.00 %
class_id = 69, name = 69,        ap = 0.00 %
class_id = 70, name = 70,        ap = 52.02 %
class_id = 71, name = 71,        ap = 0.00 %
class_id = 72, name = 72,        ap = 0.00 %
class_id = 73, name = 73,        ap = 0.00 %
class_id = 74, name = 74,        ap = 61.00 %
class_id = 75, name = 75,        ap = 8.86 %
class_id = 76, name = 76,        ap = 25.59 %
class_id = 77, name = 77,        ap = 50.34 %
class_id = 78, name = 78,        ap = 35.41 %
class_id = 79, name = 79,        ap = 29.69 %
class_id = 80, name = 80,        ap = 13.74 %
class_id = 81, name = 81,        ap = 17.06 %
class_id = 82, name = 82,        ap = 0.00 %
class_id = 83, name = 83,        ap = 7.33 %
class_id = 84, name = 84,        ap = 0.00 %
class_id = 85, name = 85,        ap = 0.37 %
class_id = 86, name = 86,        ap = 3.93 %
class_id = 87, name = 87,        ap = 0.00 %
class_id = 88, name = 88,        ap = 0.00 %
class_id = 89, name = 89,        ap = 0.35 %
class_id = 90, name = 90,        ap = 0.00 %
class_id = 91, name = 91,        ap = 0.00 %
class_id = 92, name = 92,        ap = 0.00 %
class_id = 93, name = 93,        ap = 4.30 %
class_id = 94, name = 94,        ap = 0.00 %
class_id = 95, name = 95,        ap = 0.00 %
class_id = 96, name = 96,        ap = 0.00 %
class_id = 97, name = 97,        ap = 0.00 %
class_id = 98, name = 98,        ap = 0.00 %
class_id = 99, name = 99,        ap = 0.00 %
class_id = 100, name = 100,      ap = 0.00 %
class_id = 101, name = 101,      ap = 0.23 %
class_id = 102, name = 102,      ap = 0.00 %
class_id = 103, name = 103,      ap = 0.00 %
class_id = 104, name = 104,      ap = 0.00 %
class_id = 105, name = 105,      ap = 0.00 %
class_id = 106, name = 106,      ap = 0.00 %
class_id = 107, name = 107,      ap = 0.00 %
class_id = 108, name = 108,      ap = 0.00 %
class_id = 109, name = 109,      ap = 0.00 %
class_id = 110, name = 110,      ap = 0.00 %
class_id = 111, name = 111,      ap = 0.00 %
class_id = 112, name = 112,      ap = 0.00 %
class_id = 113, name = 113,      ap = 0.00 %
class_id = 114, name = 114,      ap = 0.00 %
class_id = 115, name = 115,      ap = 0.00 %
class_id = 116, name = 116,      ap = 0.00 %
class_id = 117, name = 117,      ap = 0.86 %
class_id = 118, name = 118,      ap = 0.00 %
class_id = 119, name = 119,      ap = 0.00 %
class_id = 120, name = 120,      ap = 0.00 %
class_id = 121, name = 121,      ap = 0.00 %
class_id = 122, name = 122,      ap = 0.00 %
class_id = 123, name = 123,      ap = 0.46 %
class_id = 124, name = 124,      ap = 0.00 %
class_id = 125, name = 125,      ap = 0.00 %
class_id = 126, name = 126,      ap = 0.00 %
class_id = 127, name = 127,      ap = 0.00 %
class_id = 128, name = 128,      ap = 0.00 %
class_id = 129, name = 129,      ap = 0.41 %
class_id = 130, name = 130,      ap = 0.00 %
class_id = 131, name = 131,      ap = 0.00 %
class_id = 132, name = 132,      ap = 0.00 %
class_id = 133, name = 133,      ap = 0.00 %
class_id = 134, name = 134,      ap = 0.09 %
class_id = 135, name = 135,      ap = 0.00 %
class_id = 136, name = 136,      ap = 0.00 %
class_id = 137, name = 137,      ap = 0.00 %
class_id = 138, name = 138,      ap = 0.00 %
class_id = 139, name = 139,      ap = 0.00 %
class_id = 140, name = 140,      ap = 0.00 %
class_id = 141, name = 141,      ap = 0.00 %
class_id = 142, name = 142,      ap = 0.15 %
class_id = 143, name = 143,      ap = 0.00 %
class_id = 144, name = 144,      ap = 0.00 %
class_id = 145, name = 145,      ap = 0.00 %
class_id = 146, name = 146,      ap = 0.00 %
class_id = 147, name = 147,      ap = 0.00 %
class_id = 148, name = 148,      ap = 13.70 %
class_id = 149, name = 149,      ap = 0.00 %
class_id = 150, name = 150,      ap = 2.32 %
class_id = 151, name = 151,      ap = 0.00 %
class_id = 152, name = 152,      ap = 2.27 %
class_id = 153, name = 153,      ap = 0.00 %
class_id = 154, name = 154,      ap = 8.06 %
class_id = 155, name = 155,      ap = 0.00 %
class_id = 156, name = 156,      ap = 0.00 %
class_id = 157, name = 157,      ap = 0.00 %
class_id = 158, name = 158,      ap = 0.00 %
class_id = 159, name = 159,      ap = 0.00 %
class_id = 160, name = 160,      ap = 0.00 %
class_id = 161, name = 161,      ap = 0.00 %
class_id = 162, name = 162,      ap = 0.00 %
class_id = 163, name = 163,      ap = 0.00 %
class_id = 164, name = 164,      ap = 0.00 %
class_id = 165, name = 165,      ap = 0.00 %
class_id = 166, name = 166,      ap = 0.00 %
class_id = 167, name = 167,      ap = 0.00 %
class_id = 168, name = 168,      ap = 0.00 %
class_id = 169, name = 169,      ap = 0.00 %
class_id = 170, name = 170,      ap = 0.00 %
class_id = 171, name = 171,      ap = 0.00 %
class_id = 172, name = 172,      ap = 0.00 %
class_id = 173, name = 173,      ap = 0.00 %
class_id = 174, name = 174,      ap = 0.00 %
class_id = 175, name = 175,      ap = 0.00 %
class_id = 176, name = 176,      ap = 0.00 %
class_id = 177, name = 177,      ap = 0.00 %
class_id = 178, name = 178,      ap = 0.00 %
class_id = 179, name = 179,      ap = 0.00 %
class_id = 180, name = 180,      ap = 0.24 %
class_id = 181, name = 181,      ap = 0.00 %
class_id = 182, name = 182,      ap = 0.00 %
class_id = 183, name = 183,      ap = 0.00 %
class_id = 184, name = 184,      ap = 0.00 %
class_id = 185, name = 185,      ap = 0.00 %
class_id = 186, name = 186,      ap = 0.00 %
class_id = 187, name = 187,      ap = 0.00 %
class_id = 188, name = 188,      ap = 0.00 %
class_id = 189, name = 189,      ap = 0.00 %
class_id = 190, name = 190,      ap = 0.00 %
class_id = 191, name = 191,      ap = 0.00 %
class_id = 192, name = 192,      ap = 0.00 %
class_id = 193, name = 193,      ap = 15.67 %
class_id = 194, name = 194,      ap = 0.00 %
class_id = 195, name = 195,      ap = 0.00 %
class_id = 196, name = 196,      ap = 0.00 %
class_id = 197, name = 197,      ap = 0.00 %
class_id = 198, name = 198,      ap = 0.00 %
class_id = 199, name = 199,      ap = 16.09 %
class_id = 200, name = 200,      ap = 4.89 %
class_id = 201, name = 201,      ap = 0.00 %
class_id = 202, name = 202,      ap = 5.03 %
class_id = 203, name = 203,      ap = 24.41 %
class_id = 204, name = 204,      ap = 0.00 %
class_id = 205, name = 205,      ap = 0.69 %
class_id = 206, name = 206,      ap = 3.28 %
class_id = 207, name = 207,      ap = 0.00 %
class_id = 208, name = 208,      ap = 0.00 %
class_id = 209, name = 209,      ap = 0.00 %
class_id = 210, name = 210,      ap = 74.96 %
class_id = 211, name = 211,      ap = 82.72 %
class_id = 212, name = 212,      ap = 51.24 %
class_id = 213, name = 213,      ap = 92.34 %
class_id = 214, name = 214,      ap = 59.07 %
class_id = 215, name = 215,      ap = 66.17 %
class_id = 216, name = 216,      ap = 72.46 %
class_id = 217, name = 217,      ap = 74.68 %
class_id = 218, name = 218,      ap = 62.60 %
class_id = 219, name = 219,      ap = 71.32 %
class_id = 220, name = 220,      ap = 45.59 %
class_id = 221, name = 221,      ap = 59.24 %
class_id = 222, name = 222,      ap = 58.77 %
class_id = 223, name = 223,      ap = 67.35 %
